seed,model,pval_kupiec,pval_christoffersen_ind,pval_christoffersen_cc,pval_dq,pval_er,pval_cc,pval_esr_v1,pval_esr_v2,pval_esr_v3,pval_mcs,in_mcs
2,gru_normal,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.04198615577646425,0.791,1.0,0.7550099326176498,0.4981176724820795,0.8528587121943291,0.766,True
3,gru_normal,0.9338625169657003,0.0019717941960926085,0.008302090546974316,5.94758406968765e-08,0.907,1.0,0.7377866439327099,0.7166188844640713,0.866169777371398,0.819,True
4,gru_normal,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.14818649058005395,0.964,1.0,0.3533841832576785,0.0053776000047048855,0.9012402878481278,0.837,True
5,gru_normal,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.07247672991629772,0.948,1.0,0.11695973045692121,0.03312495112892755,0.942785622033622,0.987,True
6,gru_normal,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.06665090300293941,0.798,1.0,0.7904376106362494,0.4508473696680956,0.8338908523373074,0.763,True
7,gru_normal,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.03622354788136617,0.668,1.0,0.4968104287499504,0.41628567450821685,0.8842053721247003,0.335,True
8,gru_normal,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.05457426184341874,0.862,1.0,0.21786986822222254,0.2540568069153042,0.895235512798471,0.916,True
9,gru_normal,0.9338625169657003,0.0019717941960926085,0.008302090546974316,5.799051550070544e-08,0.865,1.0,0.8350021584834075,0.7947698945180962,0.856041203457956,0.329,True
42,gru_normal,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.04887710306213344,0.79,1.0,0.3476619850044267,0.14434730110501182,0.8555590703632256,1.0,True
0,gru_student,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.05419068044823894,0.815,1.0,0.6380686774550254,0.8113950538670054,0.883380590081786,0.095,False
1,gru_student,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.04410092765309537,0.735,1.0,0.7273698951130096,0.7861043870326285,0.8737653124590774,0.163,True
2,gru_student,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.04962638701767075,0.936,1.0,0.13291127172873762,0.3374154217439702,0.9529456286314447,0.564,True
3,gru_student,0.6724123009394447,0.0011176184190466471,0.004515227738370812,1.8390463596418272e-09,0.893,1.0,0.7460824977358946,0.7207950351509436,0.8535666087304454,0.725,True
4,gru_student,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.045825751733329256,0.732,1.0,0.8107519151334678,0.1527836982968349,0.8567435734829447,0.452,True
5,gru_student,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.039753295172159864,0.735,1.0,0.6520587814740706,0.7021514364433732,0.8984194851066858,0.069,False
6,gru_student,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.05317311652706447,0.823,1.0,0.7154577644528683,0.7924835730026955,0.8622939166493351,0.286,True
7,gru_student,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.048164866930953565,0.769,1.0,0.2204025298961374,0.33745033214063447,0.918468372734914,0.321,True
8,gru_student,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.0775683526407801,0.939,1.0,6.022947937422973e-05,0.2743123128049486,0.9000301987425093,0.884,True
9,gru_student,0.9338625169657003,0.0019717941960926085,0.008302090546974316,5.226568722260794e-08,0.904,1.0,0.6786032543537783,0.6592054985789337,0.8962090834450367,0.329,True
42,gru_student,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.07649932827736994,0.908,1.0,0.6859754013562906,0.5356738484390189,0.8688266892280677,0.849,True
0,lstm_normal,0.14455135881038994,0.20337942696904687,0.15360317246478258,0.05661014066544878,0.955,1.0,0.9382796140754073,0.6602373189424064,0.7722232181142784,0.586,True
1,lstm_normal,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.05850035671144738,0.856,1.0,0.8478823930683861,0.7492127845274893,0.8651530141111803,0.339,True
2,lstm_normal,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.03276158424165121,0.802,1.0,0.8886287206739305,4.202840191425139e-07,0.7829646708532926,0.809,True
3,lstm_normal,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.056439480130149655,0.841,1.0,0.8547716632531255,0.878951411175732,0.8281214234148999,0.819,True
4,lstm_normal,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.15188082772520772,0.935,1.0,0.8201419539249966,0.0004540727982857984,0.7722565009181324,0.837,True
5,lstm_normal,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.08625158710801706,0.858,1.0,0.9376266302009056,0.9439445616688628,0.8182018146823855,0.737,True
6,lstm_normal,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.07181524362325942,0.916,1.0,0.877959890541485,0.002889221158094313,0.7965625654594101,0.763,True
7,lstm_normal,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.07264240097216423,0.799,1.0,0.8547995345914864,0.8397729758608737,0.8421475114305235,0.414,True
8,lstm_normal,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.005632884851447084,0.848,1.0,0.9893700123217083,0.9860988745099901,0.7766083014129322,0.579,True
9,lstm_normal,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.048075942221073475,0.827,1.0,0.6035535138960372,0.7402635487898094,0.8734769022766787,0.294,True
42,lstm_normal,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.08692241049324301,0.9,1.0,0.5025852656900178,0.5426851757348565,0.8979601012110032,0.849,True
0,lstm_student,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.10913681407622955,0.926,1.0,0.883121428721726,0.9012684435560103,0.8225728128084846,0.416,True
1,lstm_student,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.07670729622719408,0.861,1.0,0.7727068344093811,0.8600183392404366,0.8700714956751889,0.339,True
2,lstm_student,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.06331597138630529,0.735,1.0,0.8740265470709593,0.8681730229936434,0.7902001484998777,0.806,True
3,lstm_student,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.05459521124379052,0.902,1.0,0.7533382116020152,0.8245724038621047,0.797506408735831,0.78,True
4,lstm_student,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.07264069798503647,0.825,1.0,0.6438956822002119,0.6421587970884878,0.8600964715692964,0.362,True
5,lstm_student,0.38487863637479336,0.1422386651653347,0.2335600034318475,0.012199860217337655,0.829,1.0,0.7390624139046922,0.8483032908933659,0.8719282939034974,0.36,True
6,lstm_student,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.028630882730064977,0.922,1.0,0.4401072291543925,0.12161405359394628,0.9237319432423762,0.07,False
7,lstm_student,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.07142029722260856,0.807,1.0,0.882691872040954,0.847811364396001,0.837377435818065,0.414,True
